book_id,title,auther,published_year,genre,isbn,available_copies
11,The Great Gatsby,F. Scott Fitzgerald,1925,Fiction,9780743273565,3
2,To Kill a Mockingbird,Harper Lee,1960,Fiction,9780061120081,5
3,1984,George Orwell,1949,Dystopian,9780451524935,2
4,The Catcher in the Rye,J.D. Salinger,1951,Fiction,9780316769488,4
5,The Hobbit,J.R.R. Tolkien,1937,Fantasy,9780547928227,6
6,Pride and Prejudice,Jane Austen,1813,Romance,9780141439518,2
7,The Da Vinci Code,Dan Brown,2003,Thriller,9780307474278,7
8,The Alchemist,Paulo Coelho,1988,Adventure,9780061122415,3
9,The Road,Cormac McCarthy,2006,Post-apocalyptic,9780307387899,1
10,The Book Thief,Markus Zusak,2005,Historical,9780375842207,5
